,reviews,stars
0,Это нам так не повезло? Почему пупырки не фиксируюся?? Возврат можно оформить?,1
1,"Напиши нам в вопросах свой контакт, мы компенсируем брак.",1
2,Подделка. Ужас. Не берите!!!,1
3,"Инна, наш товар продан более 15000 раз! Мы реализуем исключительно качественный товар!",1
4,Не положили подарок. Не стал бы выкупать . Не я забирал.,1
5,"Здравствуйте, Степан. Подарок вкладывается в каждый поп ит, нам неизвестны причины его пропажи.",1
6,Не было подарка,1
7,"Подарок и карабин вкладываются в каждый поп ит, нам неизвестны причины их пропажи.",1
8,Очень плохое качество! Ребёнку не понравилось.,1
9,"Вообще разочаровали,брали два раза первый кликает с одной только стороны и без веревочки,второй пришел рваный.в комплекте еще шёл карабин и симпл-димпл-спинер. Если есть возможность обменять.. ребенок забирал и не обратила внимание",1
10,"Доброго дня! Мы очень сожалеем, что Вы получили бракованный товар. Рекомендуем Вам оформить возврат в личном кабинете Wildberries с пометкой брак.",1
11,"Ну самое главное, что поп ит должен ""чпокать"" в обе стороны, а тут только в одну сторону, это самый главный минус. Подарок розовый(у меня сын) , жалко что нельзя выбирать, но к нему притензий нет.. И конечно нет штуки на которую цеплять попит и подарок..",1
12,Абсолютно все поп ит щёлкают в одну сторону более сильнее чем в другую! Карабин идёт в комплекте.,1
13,"Спасибо уроды за то, что я заказывала в подарок, отдавать сегодня, а пришло совсем не то, что заказывали. Осталась без подарка. Испортили настроение капитально!!!!",1
14,"С точки зрения парадоксального и астрального мышления ваша черепная коробка не соответствует мировым стандартам, поэтому считаю дальнейший разговор с вами нецелесообразным.",1
15,"Качество плохое, щёлкает в одну сторону только, подарка небыло",1
16,Благодарим за внимание к нашей карточке :),1
17,"Пришел поп ит без подарка! Надорвана упаковка. Думаю подарок там когда-то был... Выкупила, т.к. ребенок неделю ждал этот поп ит и подарочек. Неприятный осадок...",1
18,"Подарки и карабин вкладываются в каждый поп ит, нам неизвестны причины его пропажи :( Сожалеем о сложившейся ситуации.",1
19,"Ужасная очередь, один работник на пункт самовывоза, которой даже вздохнуть некогда",1
20,"Пункт выдачи оценивается во вкладке ДОСТАВКИ! :) Там наверняка решат ваш проблему, увы мы никакого отношения к пункту выдачи не имеем!",1
21,Девушка сотрудник хамит очень грубая,1
22,"Пункт выдачи оценивается в другом месте, тут только качество товара!",1
23,"Мне пришёл бракованный, сбоку порезанный, кто-то пытался заклеить, частички клея остались. Жаль я не посмотрела при получении. Заметил уже дома ребёнок 🤷‍♀️",2
24,"Здравствуйте. К сожалению без фото мы не можем определить брак, возможно это был не наш товар! Вы можете его сдать даже после получения, оформив при этом возврат после оплаты по браку в личном кабинете. Мы его утилизируем!",2
25,Быстро порвался (,2
26,"Не такой уж огромный, есть запах специфический",2
27,Нет подарка. Цена за неделю упала на 100 руб. Взяли больше. Врут,2
28,Подарок висит на самом круге ( карабин) на вашем же фото! :))),2
29,Китайская подделка и никакого подарка в помине не положили( просто разочарование,2
30,Очень долгая доставка,2
31,"Заказывала сердечко,пришел круг.забрала,только из-за того,что ребёнок очень ждал.Следите лучше за тем,что отправляете.",2
32,В одном месте дырявый!!!!,2
33,"Здравствуйте. Каждая позиция проверяется перед отправкой, к сожалению БЕЗ ФОТО мы не может оценить брак! Всего вам доброго!",2
34,Товар был бракован,2
35,"Очень тонкий:((( разочарование. Ещё и блеклый. Есть с чем сравнить, не первый уже покупаем. Не рекомендую.",2
36,"Мы заменили все пупырки на те, что на втором фото. Хороших покупок.",2
37,"Ну давайте начнём с того что он 19 см, а не 20, очень тонкий, разочарованы и я и ребёнок. Так долго ждать и в итоге получить слёзы вместо радости, когда вы товары для детей продаёте, вы хотя бы о чувствах этих самых детей думайте.",3
38,Пришёл порванный и где брелок тоже(,3
39,"Здравствуйте ! Мы очень сожалеем, что Вы получили бракованный товар. Рекомендуем Вам оформить возврат в личном кабинете Wildberries с пометкой брак.",3
40,"Качество ужасное, судя по тому, что дети не выпустят игрушку из рук, то жить ей не долго, не стоит этих денег.",3
41,"Здравствуйте. Вам попался брак, сдайте пожалуйста его , оформив брак после оплаты в личном кабинете. Мы подтверждаем каждый факт брака и возвращаем деньги. Либо напишите нам как с вами связаться в вопросах.",3
42,Пришел поправленный!,3
43,"Доброго дня! Мы очень сожалеем, что Вы получили бракованный товар. Рекомендуем Вам оформить возврат в личном кабинете Wildberries с пометкой брак.",3
44,"Привезли брак, полное разочарование! Одну звезду накинул за подарок: спинер - симпл-димпл.",3
45,"Доброго дня! Мы очень сожалеем, что Вы получили бракованный товар. Рекомендуем Вам оформить возврат в личном кабинете Wildberries с пометкой брак.",3
46,"Игрушке лишь два дня уже потрескалась,с расчетом,что в неё ещё толком не играли😆за такое 💰 делайте хоть вещи нормальные,за резину 330р да еще и не прочную!!!!",3
47,"Товар оказался с браком. Как-будто выжжено. Подарили ребенку, заметил тут же, расстроился. Материал не очень качественный, тонкий. Вайлдберриз брак не признали, отказали в возврате. Так что смотрите внимательнее при доставке, все проверяйте. Мы просмотрели...",3
48,"Здравствуйте. Оставьте свои контакты в вопросах под карточкой, мы компенсируем ваши затраты.",3
49,"Не такой большой, мне кажется меньше 20 см. Мягкий, приходится несколько раз нажимать на пупырку",3
50,Диаметр круга 20 см :),3
51,"Подарка не было,обман,ребёнок расстроен.Если дело в доставке,поставщику стоит разобраться",3
52,"Обмана с нашей стороны нет! Нам очень жаль, что пропадают подарки! Есть недобросовестные люди, которые вынимают подарки! :(",3
53,Плохо щелкает.,3
54,"Очень мягкая, не хлопает. Отказ",3
55,"Сын расстроен. Так ждал его. Сам кайф когда нужно хлопать пузырьки, они сами по себе хлопают, не держатся. Тут не снимаешь стресс а только получаешь его. У нас 3 таких игрушки все разного размера, этот поп ит самый отвратительный.",3
56,Хороший но не приятный запах ризины,3
57,"Здравствуйте. Минимальный запах силикона допустим, он быстро выветривается. Хороших покупок.",3
58,"Слишком мягкий материал, плохо кликает, звука почти нет. Ребенку не понравился. Возврат.",3
59,Тонкая очень резина ребенок растроился.,3
60,"Пришёл с браком, проженый в середине, и оторваное место где идёт зажим",3
61,"Доброго дня! Мы очень сожалеем, что Вы получили бракованный товар. Рекомендуем Вам оформить возврат в личном кабинете Wildberries с пометкой брак.",3
62,Подарка не было...товар все равно забрала,3
63,"Порвалась кнопка через месяц, тонкий",3
64,Нормальный,3
65,"Не очень хорошо хлопает, только в одну сторону.",4
66,"Снизила оценку пришёл с браком,сразу не посмотрели ((( а так силикон очень плотный",4
67,"Здравствуйте. Нам очень жаль, оформите возврат по браку в личном кабинете.",4
68,"Одна сторона классная. Вторая совсем не кликает. :(. Я читала, что она должна не так громко. Но она совсем не кликает. И видео совсем не прикрепляется здесь почему - то. Хотела показать как .",4
69,"Сердце и эта фигурка-жесткие,пупырки с трудом нажимались,отказ,попробуем перезаказать",4
70,"Пришёл вовремя,но рваный 🤦👏",4
71,"Здравствуйте. Оформите пожалуйста возврат по браку после оплаты в личном кабинете или напишите нам в вопросах свои контакты, наркотики решение в кратчайшие сроки.",4
72,"Имеет резкий запах резины,не выветрился.",4
73,"Клацает плохо, да и в подарок положили какой-то сломанный симп димпл спинер.",4
74,"Не очень, на поп ите есть маленькие чёрные пятна! А Симпл димпл просто ужас пришёл розовый с чёрными пятнами и у зелёного звета пупырка почти вылазит! Тыкает норм!",4
75,Ни какого подарка не было. Печально,4
76,"Подарок и карабин вкладываются в каждый поп ит, нам неизвестны причины пропажи :(",4
77,"Не поднимается рука поставить даже 4 звезды. Да, был приложен подарок, но! Заказазывала 2 штуки для двоих детей. Одному из детей пришел ""обгрызенный"", второму без металлического держателя, а имеющийся держатель не понятно для чего- детали болтаются и ничего не фиксируют. Вариант возврата не рассматривали, т.к. детям сложно объяснить, что придется игрушки вернуть и еще неизвестно сколько ждать других, и не факт, что придут нормальные. Оставили какие есть. Не смотря на стоимость остался неприятный осадок. Фото прикладываю",4
78,На фото не наш товар! У нас таких квадратов ( расцветок ) нет в продаже.,4
79,"Здравствуйте,заказ пришел,но без подарка.Немного расстроены.",4
80,"Нам очень жаль, подарок и карабин вкладываются в каждый поп ит. Нам неизвестны причины пропажи:(",4
81,"подарок пришел симбл димбл, но пупырки что на поп ит что на симбл-плохо нажимаются( и плохо щелкаются(",4
82,"Первый раз заказ пришёл с подарком и с зацепом. А во второй раз заказала тот же товар для младшего ребёнка , мало того, что подняли цену, дак прислали и без подарка и без зацепа. Естественно отказались.",4
83,"Подарок и карабин вкладываются в каждый поп ит, нам неизвестны причины его пропажи.",4
84,"Пришёл в порваном пакете, подарок не положили, сам поп ит целый, не большой",4
85,Пришёл без подарка!,4
86,"Заказала два одинаковых товара, но один пришёл без подарка. Ребёнок очень расстроился. Больше не буду заказывать у этого поставщика.",4
87,Пришел без крючка. Ребенок огорчен( Щелкает только на одной стороне .,4
88,Карабин и подарок вкладывается в каждый поп ит! Нам неизвестны причины его пропажи :( Хороших покупок.,4
89,Не щёлкает,4
90,Одна из пупырок с браком,4
91,Здравствуйте. Оформите пожалуйста возврат товара по браку после оплаты в личном кабинете.,4
92,"Заказали восьмиугольник, пришёл порванный. Не выкупили, а так ждали(",4
93,Хлопает только с одной стороны.,4
94,Ребенок доволен. Запах не приятный.,4
95,"Поп ит отличный !!!!! Но только с 1 стороны . Цена нормальная , но очень мягкая резина . Наверное лучше купить 2 маленьких поп ита хорошего качества .",4
96,Он не очень большой,4
97,"Софья, здравствуйте. Размеры все указаны, сердечко 18 см. Будьте более внимательны при следующих покупках. Всего доброго!",4
98,"Заказала 2 штуки одновременно детям, одну получила , вторую нет, в пвз были проблемы. Сказали сделать отмену и получить возврат. Сделала отмену 14 Сентября, но при этом заказало новую попырку. Денег до сих пор не вернули. Я не обеднею, но очень не красиво. Не знаю, кто тут виноват, но сам факт- у ребёнка были слёзы",4
99,Здравствуйте. Действительно неприятная ситуация:( Рекомендуем вам написать обращение в личном кабинете в службу поддержки Вайлдбериз для решения вашего вопроса.,4
100,"Очень мягкий, форму не держит. В подарок положили симп димпл",5
101,"Сегодня получила ""гиганта"",спасибо за отдельный подарок.Минус звезда,за,то,что не было в упаковке карабина..,не проблема конечно, дома найдем другой",5
102,"Дочка в восторге, а мне кажется, что плохо лопаются пупырки, надо прям давить пальцем внутрь. Разве не от лёгкого касания должны чпокаться эти пупырки? Подарок спинер-попит на 6 пупырок, понравился всем трём детям - 1.10, 4.6и 7.5 лет",5
103,"Вонял ужасно, но другого и не ждали))",5
104,"Попыт пришёл, но без подарка. Первый пакет был вскрыт, видимо вытащили подарок по пути. Очень жаль.",5
105,"Очень жаль, когда недобросовестные люди вынимают подарки :(",5
106,"Качество не очень, кривые слегка драные края. А за подарок спасибо.",5
107,"Подарка не было, печально.. кто- то вытащил(( но времени уже перезаказывать не было..",5
108,"Нам очень жаль, что вы не получили подарок. Подарок вкладывается в каждый поп ит :(",5
109,"Поп ит плюс симпл димпл в подарок, хоть и обычный Помят от части и в некоторых местах минимально протёрт",5
110,Мягкий слишком,5
111,Подарка нет..обман,5
112,"Из 10000 купленных квадратов, нет подарка у 5-10 покупателей. Нет никакого обмана. Есть НЕДОБРОСОВЕСТНЫЕ покупатели, которые их вынимают! Нам жаль!",5
113,Нормальный поп ит. А вот подарок лишь пообещали. Жаль,5
114,"Здравствуйте. Нам тоже очень жаль, если вы напишите в вопросах свой контакт для связи, мы компенсируем вам потерянный подарок. Хорошего дня.",5
115,"Подарок и карабин вкладываются в каждый поп ит, нам неизвестны причины пропажи. Упаковка по вашему описанию явно было нарушена, наш товар приходит в двойном пакете.",5
116,Пришел порваный,5
117,Оформите пожалуйста возврат по браку после оплаты в личном кабинете.,5
118,"Популярная игрушка, дочери нравится, в подарок был спинер. Но качество спинера лучше, чем самого антистресса. Тонкий материал легко проткнуть если будет острый ноготь. Ребенку нравится.",5
119,"Это не первый наш поп ит, но этого не хватило даже надень. Порвался в двух местах пока играла. Плюсом подарок спинер.",5
120,Получили заказ сегодня. Поп ит хорошего качества. Подарок не положили. Ребёнок расстроился.,4
121,"Добрый день! Поп ит хорошего качества, яркий, ребёнок доволен. Но не прислали подарка, как многие пишут. Значит нам не повезло (",4
122,"Здравствуйте. Мы отправляем подарок и карабин, увы да кто то их вынимает:( нам не меньше жаль!",4
123,"Заказывали 2 больших, в итоге один вскрытый-подарка не было, второй в упаковке с подарком...Неприятно, понимаю, что вскрывают гадостные люди скорее всего на почте, но минус балл...",4
124,"Пришёл с запахом, но через некоторое время этот запах выветрился Спасибо за подарок)",4
125,"Есть небольшие повреждения, а так всё отлично",4
126,Пришёл без подарка! В целом все хорошо,4
127,Мы расстроены:(,4
128,"Пришёл без подарка 😕. Хорошо, что ребёнок не знал и это был сюрприз. Ждал бы с подарком - расстроился бы. В целом яркий, большой, хлопает с одной стороны громче.",4
129,"Как нам жаль, что вы не получаете подарки :( Увы, мы не знаем как бороться с этим! С нашей стороны подарок и карабин вкладываются в каждый поп ит.",4
130,Мягкие пазухи. Но ребёнок доволен. Это главное.,4
131,"Цвет не ровными полосами как на картинке. Подарок симпл димпл расслаиваеться. На пупырках слоями можно снимать силикон,так как он уже отстаёт.",4
132,Пахнет резиной малость,4
133,"Хороший набор, яркий, дочка довольна. Минус звезда потому что не было держателя для Pop It, печально...",4
134,"Подарок и карабин вкладываются в каждый поп ит, нам неизвестны причины его пропажи :(",4
135,"Возврат.Написано сюрприз в каждом заказе!Где наш сюрприз?Ребенок выбирал с подаркомПакет легко открывается,кто вытащил? работники или на складе не положили?Кто то же должен за этим следить!",4
136,"Подарок и карабин вкладываются в каждый поп ит, нам неизвестны причины его пропажи.",5
137,Очень мягкий,5
138,"Заказали 2 шт. одинаковые с разницей в 5 минут. Получили по одной, с разницей в 3 дня.",5
139,Пришёл без карабина 😡,5
140,"Подарок и карабин вкладываются в каждый поп ит! Увы, нам неизвестны причины его отсутствия:(",5
141,"Попит отличный, но почему-то не положили подарок...",5
142,"Здравствуйте. Нам очень жаль, что пропадают подарки детям!:( Подарки вкладываются в каждый поп ит!",5
143,"Хороший pop it, также положили подарок, но на одной пупырке был небольшой брак.",5
144,Нашла такое же сильно дешевле.,5
145,"Игрушка понравилась, но немного позанудствую. Силикон тонкий и имеет не очень приятный запах. В подарок достался спиннер симпл-димпл. Цена удивила, поэтому сильно ругаться не буду. В соседнем магазине такой стоит почти в 2 раза дороже.",5
146,Соответствует описанию,5
147,"Яркий, красивый. Достаточно большой. Подарок тоже пришёл. Спасибо.",5
148,Классный. И спинер прикольный,5
149,Клевый 😃 Всей семье по вкусу,5
150,Хорошо спасибо,5
151,"Класс, ребёнок даволен",5
152,"Хороший, плотный силикон. Без постороннего запаха. Ребёнок в восторге от подарка",5
153,Спасибо за поп ит и за подарок) Дочь счастлива)),5
154,Хороший попит),5
155,"Ребёнок ооочень доволен, спасибо большое.",5
156,Все целое ! Спасибо за подарок),5
157,Качество хорошее. Без неприятного запаха. Подарок приятный ) спасибо,5
158,Всё хорошо,5
159,Ребёнку понравилось!,5
160,Клёвая игрушка спасибо за подарок.,5
161,"Хороший попИТ, ребёнку понравился. Кликает отлично 👌👍",5
162,"Отличный поп ит, дочка в восторге!",5
163,"Очень качественный силикон, дочь довольна)))",5
164,"Спасибо большое производителю и Вб! Поп ит большой, яркий, ребёнок очень доволен! Отдельное спасибо за подарочек, очень приятно! Однозначно рекомендуем к покупке!",5
165,"Все отлично, соответствует",5
166,"На самом деле , меньше 18 см и нам подарок не положили . Сделали выбор на другом )",5
167,"Игрушка крепенькая, вот только держатель был оторван, поздно увидела, уже когда забрала. Вот это неприятный момент, ребенок расстроился, хотя самой игрушке поначалу очень обрадовался.",5
168,"Неплохой поп ит за эту цену, но не очень плотный. Главное, что ребёнку понравилось.",5
169,"4 звезды потому что поп ит пришёл с браком,а так всё хорошо кликаеься с обоих сторон хорошо. В подарок положили золотой симл димпл.",5
170,"Пришёл без подарка, ребёнок расстроен",5
171,"В каждый поп ит вкладываются подарки, нам неизвестны причины почему он не доехал до вас (((",5
172,Подарок не дошёл 😫,5
173,"Ох, как нам жаль((( Подарки вкладываются в каждый поп ит, недобросовестные люди лишают детей, взяв подарок себе!",5
174,Подарка не было,5
175,"Поп ит пришёл, ребёнку понравился! Цвета яркие, большое спасибо за подарок! Один минус имеется небольшой запас!!!",5
176,жёсткий и не те цвета.. а так норм,5
177,"Вместо сердечка пришёл кружок(дочь расстроилась! Выкупили на подарок! Хотим заказать ещё раз, но вот думаем стоит ли...вдруг опять придёт не то,что надо",5
178,"Здравствуйте. Действительно сердце с кругом произошёл пересорт, мы его исправили после жалоб! :)всего доброго.",5
179,"Поп ит классный. Спасибо за подарок. Но нет карабина, к сожалению(",5
180,"Материал тонковатый и щелкает плоховато поэтому и снимаю звезду. Взяли 30 см., поп ит качество там более плотное и щелкает лучше.",5
181,Поп ит крутой,5
182,"Быстро, не дорого, качественно, правда первая пупырка порвалась через 10 минут",5
183,"Отличный товар, щёлкает с двух сторон, немного присутствует запах резины, но это не страшно)) товаром довольны",5
184,Соответствует описанию. Цвета не совсем ровные. Размер большой.,5
185,"Хорошая лягушка, ребёнок доволен.",5
186,"Не такой уж он и огромный,конечно🙂ну да ладно,не страшно.Без постороннего запаха,пока не красится,дальше будет видно.Ребенок доволен.В подарок прислали симпл-димпл спинер,приятно,спасибо,радости у дочки стало ещё больше 😁",5
187,"Большой, в подарок спинер сидел димпл.",5
188,"Ребенок доволен, спасибо за подарок",5
189,Классная игрушка. Ребёнку понравилось.,5
190,Все отлично,5
191,Товаром довольны. Думаем ещё заказывать,5
192,Все соответствует и размер и подарочек. Ребёнок доволен,5
193,"Ребёнок доволен,всё отлично👍🏻спасибо за подарок.",5
194,"Отличная игрушка, все как на картинке. Цвет насыщенный, материал приятный. Положили небольшой подарок.",5
195,"Отличная игрушка, в подарок был ещё Симпл Димпл)",5
196,"Заказ пришёл быстро, игрушка хорошая, да ещё и в подарок положили.",5
197,"Получили очень доволен детишек , оригинал рекомендую",5
198,Ребенку понравился за подарок спасибо!,5
199,Спасибо огромное!!! За подарок отдельное спасибо!!! Очень приятно!!! Пришло всё быстро!!!! Всем рекомендую!!!!!,5
200,Ребенок счастлив ) а значит счастлива мама))))!!! Спасибо за подарочек ! Мне не дали нормально сфоткать😀,5
201,Спасибо за фото :),5
202,"Очень яркий, классный, дочь в восторге😀за подарок отдельное спасибо, даже не ожидала🤗",5
203,"Хороший подарок,все соответствует описанию,подарок был внутри.Спасибо!!!",5
204,Дети довольны),5
205,"Ребёнку понравился,спасибо за подарок!",5
206,"Ребёнок доволен, спасибо продавцу за подарок",5
207,Всё супер,5
208,"Ребёнку очень понравился поп ит,и отличный подарок,фото прилагаем.",5
209,Качественный,5
